captain,formation,budget,gw1_score,5gw_estimated,GK1,GK1_role,GK1_selected,GK1_price,GK1_score,DEF1,DEF1_role,DEF1_selected,DEF1_price,DEF1_score,DEF2,DEF2_role,DEF2_selected,DEF2_price,DEF2_score,DEF3,DEF3_role,DEF3_selected,DEF3_price,DEF3_score,DEF4,DEF4_role,DEF4_selected,DEF4_price,DEF4_score,MID1,MID1_role,MID1_selected,MID1_price,MID1_score,MID2,MID2_role,MID2_selected,MID2_price,MID2_score,MID3,MID3_role,MID3_selected,MID3_price,MID3_score,MID4,MID4_role,MID4_selected,MID4_price,MID4_score,FWD1,FWD1_role,FWD1_selected,FWD1_price,FWD1_score,FWD2,FWD2_role,FWD2_selected,FWD2_price,FWD2_score,BENCH1,BENCH1_role,BENCH1_selected,BENCH1_price,BENCH1_score,BENCH2,BENCH2_role,BENCH2_selected,BENCH2_price,BENCH2_score,BENCH3,BENCH3_role,BENCH3_selected,BENCH3_price,BENCH3_score,BENCH4,BENCH4_role,BENCH4_selected,BENCH4_price,BENCH4_score,FWD3,FWD3_role,FWD3_selected,FWD3_price,FWD3_score,DEF5,DEF5_role,DEF5_selected,DEF5_price,DEF5_score,MID5,MID5_role,MID5_selected,MID5_price,MID5_score
Mohamed Salah,4-4-2,99.5,66.9,344.6,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,Bryan Mbeumo (Man Utd),MID,1,8.0,5.988724442029706,Omar Marmoush (Man City),MID,1.0,8.5,5.372046303723097,Yoane Wissa (Brentford),FWD,1,7.5,4.653093286856988,Ashley Barnes (Burnley),FWD,1,4.5,3.7945602577873254,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,,,,,,,,,,
Mohamed Salah,4-4-2,99.5,66.7,343.4,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,Bryan Mbeumo (Man Utd),MID,1,8.0,5.988724442029706,Omar Marmoush (Man City),MID,1.0,8.5,5.372046303723097,Liam Delap (Chelsea),FWD,1,6.5,4.234256150366049,Joël Piroe (Leeds),FWD,1,5.5,3.9765258685174474,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,,,,,,,,,,
Mohamed Salah,4-4-2,99.5,66.6,343.2,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,Bryan Mbeumo (Man Utd),MID,1,8.0,5.988724442029706,Omar Marmoush (Man City),MID,1.0,8.5,5.372046303723097,Raúl Jiménez Rodríguez (Fulham),FWD,1,6.5,4.197674632918843,Joël Piroe (Leeds),FWD,1,5.5,3.9765258685174474,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,,,,,,,,,,
Mohamed Salah,5-3-2,99.5,66.4,341.8,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,Bryan Mbeumo (Man Utd),MID,1,8.0,5.988724442029706,,,,,,Jarrod Bowen (West Ham),FWD,1,8.0,5.1275918101504105,Liam Delap (Chelsea),FWD,1,6.5,4.234256150366049,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,4-4-2,99.5,66.3,341.7,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,Bryan Mbeumo (Man Utd),MID,1,8.0,5.988724442029706,Omar Marmoush (Man City),MID,1.0,8.5,5.372046303723097,João Pedro Junqueira de Jesus (Chelsea),FWD,1,7.5,4.065662466155524,Ashley Barnes (Burnley),FWD,1,4.5,3.7945602577873254,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,,,,,,,,,,
Mohamed Salah,5-3-2,99.0,65.9,339.4,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,Bryan Mbeumo (Man Utd),MID,1,8.0,5.988724442029706,,,,,,Yoane Wissa (Brentford),FWD,1,7.5,4.653093286856988,Liam Delap (Chelsea),FWD,1,6.5,4.234256150366049,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,5-3-2,99.5,65.9,339.3,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,Bryan Mbeumo (Man Utd),MID,1,8.0,5.988724442029706,,,,,,Ollie Watkins (Aston Villa),FWD,1,9.0,4.89428346749226,Joël Piroe (Leeds),FWD,1,5.5,3.9765258685174474,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,5-3-2,99.5,65.8,339.0,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Jacob Murphy (Newcastle),MID,1,6.5,4.55984705882353,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,6.260998637770898,Joël Piroe (Leeds),FWD,1,5.5,3.9765258685174474,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,5-3-2,99.5,65.7,338.5,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Morgan Gibbs-White (Nott'm Forest),MID,1,7.5,4.639990923669327,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,6.260998637770898,Ashley Barnes (Burnley),FWD,1,4.5,3.7945602577873254,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,El Hadji Malick Diouf (West Ham),DEF,0,4.5,2.6612023364662005,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,5-3-2,99.0,65.5,337.3,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Anthony Elanga (Newcastle),MID,1,7.0,4.400310216718266,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,6.260998637770898,Ashley Barnes (Burnley),FWD,1,4.5,3.7945602577873254,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,5-3-2,99.5,65.5,337.3,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Alex Iwobi (Fulham),MID,1,6.5,4.215087264497791,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,6.260998637770898,Joël Piroe (Leeds),FWD,1,5.5,3.9765258685174474,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,5-3-2,99.0,65.4,337.0,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Leandro Trossard (Arsenal),MID,1,7.0,4.327991347443978,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,6.260998637770898,Ashley Barnes (Burnley),FWD,1,4.5,3.7945602577873254,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
Mohamed Salah,5-3-2,99.5,65.4,336.8,Matz Sels (Nott'm Forest),GK,1,5.0,4.372896186827221,Joško Gvardiol (Man City),DEF,1,6.0,4.595793145828361,Virgil van Dijk (Liverpool),DEF,1,6.0,4.2122365662234245,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.178454081564064,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.986724987276056,Enzo Fernández (Chelsea),MID,1,6.5,4.114774045102892,Mohamed Salah (Liverpool),MID,1,14.5,9.775887092539216,Cole Palmer (Chelsea),MID,1,10.5,6.215342466155524,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,6.260998637770898,Joël Piroe (Leeds),FWD,1,5.5,3.9765258685174474,Filip Jörgensen (Chelsea),GK,0,4.5,3.740449834576576,David Mota Veiga Teixeira do Carmo (Nott'm Forest),DEF,0,4.5,3.802601449985117,Joe Anderson (Sunderland),DEF,0,4.0,2.9765871372180106,Adam Aznou (Everton),DEF,0,4.5,2.7644130788509735,,,,,,Rayan Aït-Nouri (Man City),DEF,1.0,6.0,3.894201566880992,,,,,
