captain,formation,budget,gw1_score,5gw_estimated,GK1,GK1_role,GK1_selected,GK1_price,GK1_score,DEF1,DEF1_role,DEF1_selected,DEF1_price,DEF1_score,DEF2,DEF2_role,DEF2_selected,DEF2_price,DEF2_score,DEF3,DEF3_role,DEF3_selected,DEF3_price,DEF3_score,MID1,MID1_role,MID1_selected,MID1_price,MID1_score,MID2,MID2_role,MID2_selected,MID2_price,MID2_score,MID3,MID3_role,MID3_selected,MID3_price,MID3_score,MID4,MID4_role,MID4_selected,MID4_price,MID4_score,FWD1,FWD1_role,FWD1_selected,FWD1_price,FWD1_score,FWD2,FWD2_role,FWD2_selected,FWD2_price,FWD2_score,FWD3,FWD3_role,FWD3_selected,FWD3_price,FWD3_score,BENCH1,BENCH1_role,BENCH1_selected,BENCH1_price,BENCH1_score,BENCH2,BENCH2_role,BENCH2_selected,BENCH2_price,BENCH2_score,BENCH3,BENCH3_role,BENCH3_selected,BENCH3_price,BENCH3_score,BENCH4,BENCH4_role,BENCH4_selected,BENCH4_price,BENCH4_score,DEF4,DEF4_role,DEF4_selected,DEF4_price,DEF4_score,DEF5,DEF5_role,DEF5_selected,DEF5_price,DEF5_score,MID5,MID5_role,MID5_selected,MID5_price,MID5_score
Mohamed Salah,3-4-3,100.0,68.5,352.4,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Antoñito Cordero Campillo (Newcastle),MID,1,5.0,4.467669893262461,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,Cole Palmer (Chelsea),MID,1.0,10.5,6.013090296592243,Alexander Isak (Newcastle),FWD,1,10.5,5.9287946382288,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,Ashley Barnes (Burnley),FWD,1.0,4.5,3.6528118624158488,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,,,,,,,,,,,,,,,
Mohamed Salah,4-3-3,100.0,68.2,351.1,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Jacob Murphy (Newcastle),MID,1,6.5,4.467669893262461,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,5.9287946382288,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,Jarrod Bowen (West Ham),FWD,1.0,8.0,5.423020688048145,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,,,,,,,,,,
Mohamed Salah,4-3-3,98.5,68.2,351.1,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Antoñito Cordero Campillo (Newcastle),MID,1,5.0,4.467669893262461,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,5.9287946382288,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,Jarrod Bowen (West Ham),FWD,1.0,8.0,5.423020688048145,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,,,,,,,,,,
Mohamed Salah,4-3-3,100.0,67.6,348.0,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,,MID,1,8.0,5.1420351601700025,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,5.9287946382288,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,Raúl Jiménez Rodríguez (Fulham),FWD,1.0,6.5,4.130487259808691,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,,,,,,,,,,
Mohamed Salah,5-3-2,99.5,67.6,348.0,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,Cole Palmer (Chelsea),MID,1,10.5,6.013090296592243,,,,,,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,Jarrod Bowen (West Ham),FWD,1,8.0,5.423020688048145,,,,,,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.765206073567106,,,,,
Mohamed Salah,5-3-2,99.5,67.6,348.0,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,Cole Palmer (Chelsea),MID,1,10.5,6.013090296592243,,,,,,Jarrod Bowen (West Ham),FWD,1,8.0,5.423020688048145,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,,,,,,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.765206073567106,,,,,
Mohamed Salah,4-3-3,100.0,67.5,347.3,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Matheus Santos Carneiro da Cunha (Man Utd),MID,1,8.0,5.001542396230931,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,5.9287946382288,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,Raúl Jiménez Rodríguez (Fulham),FWD,1.0,6.5,4.130487259808691,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,,,,,,,,,,
Mohamed Salah,5-3-2,99.0,67.4,346.9,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,Cole Palmer (Chelsea),MID,1,10.5,6.013090296592243,,,,,,Yoane Wissa (Brentford),FWD,1,7.5,5.198232265745631,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,,,,,,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.765206073567106,,,,,
Mohamed Salah,4-4-2,100.0,67.3,346.6,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Antoñito Cordero Campillo (Newcastle),MID,1,5.0,4.467669893262461,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,Cole Palmer (Chelsea),MID,1.0,10.5,6.013090296592243,Alexander Isak (Newcastle),FWD,1,10.5,5.9287946382288,Raúl Jiménez Rodríguez (Fulham),FWD,1,6.5,4.130487259808691,,,,,,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,,,,,,,,,,
Mohamed Salah,5-3-2,99.5,67.1,345.5,Jordan Pickford (Everton),GK,1,5.5,4.4395713404746475,Joško Gvardiol (Man City),DEF,1,6.0,4.2990785765355755,Nikola Milenković (Nott'm Forest),DEF,1,5.5,4.074290154233062,Virgil van Dijk (Liverpool),DEF,1,6.0,4.018093048657433,Matheus Santos Carneiro da Cunha (Man Utd),MID,1,8.0,5.001542396230931,Mohamed Salah (Liverpool),MID,1,14.5,9.665902159008091,Bryan Mbeumo (Man Utd),MID,1,8.0,6.631258457924156,,,,,,Alexander Isak (Newcastle),FWD,1,10.5,5.9287946382288,Chris Wood (Nott'm Forest),FWD,1,7.5,5.619710557562844,,,,,,Filip Jörgensen (Chelsea),GK,0,4.5,3.5404176512645917,Joe Anderson (Sunderland),DEF,0,4.0,3.0065451482961216,Hannes Delcroix (Burnley),DEF,0,4.0,1.9668986951469951,Owen Dodgson (Burnley),DEF,0,4.0,1.9668986951469951,Daniel Muñoz Mejía (Crystal Palace),DEF,1.0,5.5,3.9899944958696194,Milos Kerkez (Liverpool),DEF,1.0,6.0,3.765206073567106,,,,,
