GK1,GK1_selected,GK1_price,GK1_score,GK2,GK2_selected,GK2_price,GK2_score,DEF1,DEF1_selected,DEF1_price,DEF1_score,DEF2,DEF2_selected,DEF2_price,DEF2_score,DEF3,DEF3_selected,DEF3_price,DEF3_score,DEF4,DEF4_selected,DEF4_price,DEF4_score,DEF5,DEF5_selected,DEF5_price,DEF5_score,MID1,MID1_selected,MID1_price,MID1_score,MID2,MID2_selected,MID2_price,MID2_score,MID3,MID3_selected,MID3_price,MID3_score,MID4,MID4_selected,MID4_price,MID4_score,MID5,MID5_selected,MID5_price,MID5_score,FWD1,FWD1_selected,FWD1_price,FWD1_score,FWD2,FWD2_selected,FWD2_price,FWD2_score,FWD3,FWD3_selected,FWD3_price,FWD3_score,11_selected_total_scores,15_total_price
Robert Sánchez (Chelsea),1,4.5,1.1385,Ederson Santana de Moraes (Man City),0,0.6,1.1121,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Morgan Rogers (Aston Villa),0,0.7,1.1317,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.34,21.3
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Rico Lewis (Man City),0,0.5,1.1854,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Morgan Rogers (Aston Villa),0,0.7,1.1317,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.34,21.15
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Andrew Robertson (Liverpool),1,0.6,1.4243,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.33,31.8
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Andrew Robertson (Liverpool),1,0.6,1.4243,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.33,26.7
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Andrew Robertson (Liverpool),1,0.6,1.4243,Joško Gvardiol (Man City),1,0.6,1.2688,Lucas Digne (Aston Villa),0,0.5,1.0476,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.33,31.65
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.31,26.75
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Lucas Digne (Aston Villa),0,0.5,1.0476,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.31,31.7
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Lucas Digne (Aston Villa),0,0.5,1.0476,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.31,26.6
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Andrew Robertson (Liverpool),1,0.6,1.4243,Joško Gvardiol (Man City),1,0.6,1.2688,Rico Lewis (Man City),0,0.5,1.1854,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Gabriel Martinelli Silva (Arsenal),0,0.7,1.1343,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.3,26.3
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Andrew Robertson (Liverpool),1,0.6,1.4243,Joško Gvardiol (Man City),1,0.6,1.2688,Rico Lewis (Man City),0,0.5,1.1854,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Morgan Rogers (Aston Villa),0,0.7,1.1317,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.3,26.3
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Andrew Robertson (Liverpool),1,0.6,1.4243,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Nicolas Jackson (Chelsea),1,0.7,1.3388,15.29,25.15
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Ollie Watkins (Aston Villa),1,0.9,1.2622,15.29,32.0
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Ollie Watkins (Aston Villa),1,0.9,1.2622,15.29,26.9
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Lucas Digne (Aston Villa),0,0.5,1.0476,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Ollie Watkins (Aston Villa),1,0.9,1.2622,15.29,31.85
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Morgan Rogers (Aston Villa),0,0.7,1.1317,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Ollie Watkins (Aston Villa),1,0.9,1.2622,15.29,32.1
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Lucas Digne (Aston Villa),0,0.5,1.0476,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Ollie Watkins (Aston Villa),1,0.9,1.2622,15.29,26.75
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Rico Lewis (Man City),0,0.5,1.1854,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Morgan Rogers (Aston Villa),0,0.7,1.1317,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.28,26.35
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Rico Lewis (Man City),0,0.5,1.1854,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Gabriel Martinelli Silva (Arsenal),0,0.7,1.1343,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.28,21.25
Robert Sánchez (Chelsea),1,4.5,1.1385,Ederson Santana de Moraes (Man City),0,0.6,1.1121,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Morgan Rogers (Aston Villa),0,0.7,1.1317,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.28,21.4
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Rico Lewis (Man City),0,0.5,1.1854,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Morgan Rogers (Aston Villa),0,0.7,1.1317,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.28,21.25
Robert Sánchez (Chelsea),1,4.5,1.1385,David Raya Martin (Arsenal),0,5.6,1.0416,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Ibrahima Konaté (Liverpool),1,0.6,1.4594,Joško Gvardiol (Man City),1,0.6,1.2688,Rico Lewis (Man City),0,0.5,1.1854,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Mitoma Kaoru (Brighton),1,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Moisés Caicedo Corozo (Chelsea),0,0.6,1.0995,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.28,26.2
Robert Sánchez (Chelsea),1,4.5,1.1385,Emiliano Martínez Romero (Aston Villa),0,0.5,1.0139,Virgil van Dijk (Liverpool),1,0.6,1.6979,Trent Alexander-Arnold (Liverpool),1,7.2,1.4969,Andrew Robertson (Liverpool),1,0.6,1.4243,Joško Gvardiol (Man City),1,0.6,1.2688,Gabriel dos Santos Magalhães (Arsenal),0,0.6,1.0883,Cole Palmer (Chelsea),1,1.1,1.4436,Bukayo Saka (Arsenal),1,1.0,1.2656,Bernardo Veiga de Carvalho e Silva (Man City),1,6.1,1.2649,Mitoma Kaoru (Brighton),0,0.7,1.2327,Georginio Rutter (Brighton),0,0.6,1.1855,Erling Haaland (Man City),1,1.4,1.557,Danny Welbeck (Brighton),1,0.7,1.436,Kai Havertz (Arsenal),1,0.8,1.2814,15.27,26.8
